enhancer_chr,enhancer_chr_start,enhancer_chr_end,enhancer_id,promoter_chr,promoter_chr_start,promoter_chr_end,promoter_id,ENSG,gene_id,gene_type,reads_count,P-value,cell_line,methods
chr17,73313529,73365352,K562_TE_9568,chr12,46754090,46771650,K562_MPT_2904,ENSG00000134294.9,SLC38A2,protein_coding,2,0.000274,K562,KARR-seq
chr1,28897644,28917048,K562_TE_432,chr8,109255897,109265994,K562_MPT_12571,ENSG00000104408.5,EIF3E,protein_coding,12,0.000283,K562,KARR-seq
chr6,68585750,68609380,K562_SE_605,chr9,132235835,132265618,K562_MPT_13162,ENSG00000264298.1,AL353803.1,miRNA,12,0.000283,K562,KARR-seq
chr15,83751482,83769226,K562_TE_7674,chr15,83771159,83781463,K562_MPT_4493,ENSG00000136404.11,TM6SF1,protein_coding,12,0.000289,K562,RIC-seq
chr12,121596662,121641673,K562_TE_5701,chr12,121642660,121652968,K562_MPT_3329,ENSG00000135124.10,P2RX4,protein_coding,12,0.000289,K562,RIC-seq
chr16,15346188,15356175,K562_TE_8025,chr16,15239554,15257378,K562_MPT_4733,ENSG00000264182.1,AC126763.1,miRNA,12,0.000289,K562,RIC-seq
chr9,66454703,66457717,K562_TE_21968,chr2,234758120,234768212,K562_MPT_7950,ENSG00000123485.7,HJURP,protein_coding,12,0.000289,K562,RIC-seq
chr1,41724974,41725170,K562_TE_629,chr1,41702782,41713247,K562_MPT_440,ENSG00000235358.1,RP11-399E6.1,lncRNA,12,0.000289,K562,RIC-seq
chr11,74851369,74867561,K562_TE_4229,chr11,74806636,74816636,K562_MPT_2457,ENSG00000137491.10,SLCO2B1,protein_coding,12,0.000289,K562,RIC-seq
chr5,178259363,178259872,K562_TE_17955,chr17,62482640,62511361,K562_MPT_5757,ENSG00000265695.1,MIR3064,miRNA,12,0.000289,K562,RIC-seq
chr21,44534663,44551622,K562_TE_13687,chr21,44520362,44540819,K562_MPT_8477,ENSG00000232777.1,MRPL51P2,pseudogene,12,0.000289,K562,RIC-seq
chr10,43139863,43176155,K562_SE_131,chr10,43128969,43139016,K562_MPT_1580,ENSG00000272373.1,ZNF33B,lncRNA,12,0.000289,K562,RIC-seq
chr2,217046035,217054292,K562_TE_12655,chr7,100071855,100089547,K562_MPT_11918,ENSG00000266372.1,AC092849.1,miRNA,12,0.000289,K562,RIC-seq
chr1,100788913,100803435,K562_TE_1139,chr1,100805033,100823505,K562_MPT_690,ENSG00000079335.13,CDC14A,protein_coding,12,0.000289,K562,RIC-seq
chr1,167829454,167850322,K562_SE_81,chr1,167900278,167911278,K562_MPT_1064,ENSG00000143164.11,DCAF6,protein_coding,12,0.000289,K562,RIC-seq
chr2,24555757,24578028,K562_TE_11149,chr4,71699718,71710662,K562_MPT_9825,ENSG00000132463.9,GRSF1,protein_coding,12,0.000289,K562,RIC-seq
chr19,1296079,1334221,K562_TE_10197,chr19,1428737,1463590,K562_MPT_6190,ENSG00000115266.7,APC2,protein_coding,12,0.000289,K562,RIC-seq
chr3,49275367,49286503,K562_TE_14691,chr3,49165453,49175551,K562_MPT_9068,ENSG00000172037.9,LAMB2,protein_coding,12,0.000289,K562,RIC-seq
chr1,26330287,26431935,K562_SE_21,chr1,26432664,26443340,K562_MPT_252,ENSG00000175087.5,PDIK1L,protein_coding,12,0.000289,K562,RIC-seq
chr6,27710750,27769347,K562_SE_584,chr6,27769853,27811440,K562_MPT_10912,ENSG00000182611.3,HIST1H2AJ,protein_coding,12,0.00029,K562,RIC-seq
chr20,31193112,31290878,K562_SE_402,chr7,50512393,50523088,K562_MPT_11721,ENSG00000132436.7,FIGNL1,protein_coding,12,0.000293,K562,RIC-seq
chr6,68585750,68609380,K562_SE_605,chr7,140173303,140184369,K562_MPT_12112,ENSG00000133606.6,MKRN1,protein_coding,24,0.000299,K562,RIC-seq
chr6,68585750,68609380,K562_SE_605,chr21,38733234,38744883,K562_MPT_8455,ENSG00000273210.1,AP001437.1,lncRNA,17,0.000312,K562,KARR-seq
chr16,81535530,81593308,K562_TE_8560,chr1,9927150,9943234,K562_MPT_107,ENSG00000178585.10,CTNNBIP1,protein_coding,10,0.000328,K562,KARR-seq
chr6,68585750,68609380,K562_SE_605,chr9,90107143,90118920,K562_MPT_12915,ENSG00000196730.8,DAPK1,protein_coding,12,0.000334,K562,KARR-seq
chr16,81462833,81519190,K562_SE_278,chr3,128201759,128217028,K562_MPT_9309,ENSG00000179348.7,GATA2,protein_coding,11,0.000335,K562,KARR-seq
chr5,53507910,53524201,K562_TE_17013,chr8,126958394,126968493,K562_MPT_12613,ENSG00000245164.2,LINC00861,lncRNA,10,0.000336,K562,KARR-seq
chr1,28897644,28917048,K562_TE_432,chr7,56027274,56037655,K562_MPT_11733,ENSG00000146729.5,GBAS,protein_coding,10,0.000342,K562,KARR-seq
chr10,11916377,11968192,K562_SE_121,chr7,148575601,148592306,K562_MPT_12139,ENSG00000106462.6,EZH2,protein_coding,10,0.000358,K562,KARR-seq
chr12,104642857,104675179,K562_TE_5503,chr21,44485137,44502053,K562_MPT_8476,ENSG00000160200.13,CBS,protein_coding,10,0.000373,K562,KARR-seq
chr17,64326920,64382795,K562_TE_9471,chr16,88700001,88722560,K562_MPT_5138,ENSG00000051523.6,CYBA,protein_coding,10,0.000373,K562,KARR-seq
chr6,147171445,147272129,K562_SE_624,chr17,43123978,43144047,K562_MPT_5584,ENSG00000172992.7,DCAKD,protein_coding,10,0.000373,K562,KARR-seq
chr19,28942803,29111036,K562_SE_341,chr7,156445387,156455387,K562_MPT_12194,ENSG00000224903.1,AC005534.8,lncRNA,10,0.000374,K562,KARR-seq
chr22,21958340,21979130,K562_TE_13828,chr3,9428506,9445263,K562_MPT_8872,ENSG00000206573.4,SETD5-AS1,lncRNA,10,0.000374,K562,KARR-seq
chr20,31142167,31167232,K562_TE_13095,chr6,135497453,135522133,K562_MPT_11361,ENSG00000236703.1,MYB-AS1,lncRNA,10,0.000376,K562,KARR-seq
chr8,91171169,91256982,K562_SE_690,chr9,123550655,123560829,K562_MPT_13062,ENSG00000119402.12,FBXW2,protein_coding,10,0.000376,K562,KARR-seq
chr5,126297433,126361662,K562_SE_542,chr10,5926535,5941349,K562_MPT_1460,ENSG00000134452.15,FBXO18,protein_coding,10,0.00039,K562,KARR-seq
chr1,12551402,12665350,K562_SE_5,chr17,27029902,27079670,K562_MPT_5389,ENSG00000264577.1,AC010761.8,lncRNA,10,0.00039,K562,KARR-seq
chr6,20409590,20477001,K562_SE_576,chr6,42708834,42719558,K562_MPT_11091,ENSG00000124659.5,TBCC,protein_coding,10,0.000393,K562,KARR-seq
chr6,68585750,68609380,K562_SE_605,chr1,247487547,247500045,K562_MPT_1425,ENSG00000162714.8,ZNF496,protein_coding,16,0.000397,K562,KARR-seq
chr6,69421489,69471356,K562_TE_18636,chr3,9428506,9445263,K562_MPT_8872,ENSG00000206573.4,SETD5-AS1,lncRNA,10,0.000397,K562,KARR-seq
chr21,33081183,33094029,K562_TE_13541,chr4,44850,58210,K562_MPT_9618,ENSG00000248302.2,Z95704.4,pseudogene,10,0.000397,K562,KARR-seq
chr15,66880235,66981717,K562_SE_249,chr2,170422749,170435385,K562_MPT_7700,ENSG00000138399.13,FASTKD1,protein_coding,10,0.000397,K562,KARR-seq
chr11,65167965,65217131,K562_SE_178,chr20,61842491,61852586,K562_MPT_8347,ENSG00000149658.13,YTHDF1,protein_coding,10,0.000397,K562,KARR-seq
chr10,17697371,17731387,K562_TE_2593,chr1,150516884,150544336,K562_MPT_882,ENSG00000143382.9,ADAMTSL4,protein_coding,10,0.000397,K562,KARR-seq
chr6,15253980,15391637,K562_SE_569,chr17,46646385,46697478,K562_MPT_5635,ENSG00000182742.5,HOXB4,protein_coding,10,0.000397,K562,KARR-seq
chr15,66880235,66981717,K562_SE_249,chr1,3708068,3718068,K562_MPT_63,ENSG00000130764.5,LRRC47,protein_coding,10,0.000397,K562,KARR-seq
chr12,122580754,122606921,K562_TE_5725,chr6,27853570,27870344,K562_MPT_10914,ENSG00000233224.1,HIST1H2AM,protein_coding,10,0.000397,K562,KARR-seq
chr10,52286005,52379131,K562_SE_136,chrX,151138143,151148151,K562_MPT_13682,ENSG00000102287.12,GABRE,protein_coding,10,0.000397,K562,KARR-seq
chr11,12997187,13020705,K562_TE_3681,chr13,27820446,27834538,K562_MPT_3465,ENSG00000200235.1,SNORA27,snoRNA,10,0.000397,K562,KARR-seq
chr1,26989411,27048025,K562_SE_24,chr1,173827386,173843094,K562_MPT_1095,ENSG00000270084.1,GAS5-AS1,lncRNA,10,0.000397,K562,KARR-seq
chr3,105541627,105548475,K562_TE_14958,chr16,70467991,70477991,K562_MPT_5041,ENSG00000157350.8,ST3GAL2,protein_coding,9,0.000397,K562,KARR-seq
chrX,153311772,153349307,K562_TE_23386,chr2,61756413,61770761,K562_MPT_7305,ENSG00000082898.12,XPO1,protein_coding,9,0.000397,K562,KARR-seq
chr3,70042842,70050274,K562_TE_14835,chr2,113926548,113937937,K562_MPT_7568,ENSG00000125637.11,PSD4,protein_coding,9,0.000397,K562,KARR-seq
chr11,124060043,124121217,K562_SE_195,chr3,99974844,99991036,K562_MPT_9204,ENSG00000036054.8,TBC1D23,protein_coding,9,0.000397,K562,KARR-seq
chr2,122282153,122297039,K562_TE_12003,chr1,6046526,6057771,K562_MPT_67,ENSG00000131697.13,NPHP4,protein_coding,9,0.000397,K562,KARR-seq
chr8,55063493,55078771,K562_TE_21125,chr5,95061576,95072999,K562_MPT_10391,ENSG00000164292.8,RHOBTB3,protein_coding,9,0.000397,K562,KARR-seq
chr4,79684477,79738669,K562_TE_16199,chr22,25955117,25965816,K562_MPT_8626,ENSG00000100077.10,ADRBK2,protein_coding,9,0.000397,K562,KARR-seq
chr9,96220527,96231625,K562_TE_22147,chrX,149100732,149118851,K562_MPT_13674,ENSG00000235703.1,LINC00894,lncRNA,9,0.000397,K562,KARR-seq
chr11,47377803,47391590,K562_TE_3920,chr2,57977563,57997089,K562_MPT_7291,ENSG00000271615.1,CTD-2026C7.1,pseudogene,9,0.000397,K562,KARR-seq
chr21,17107789,17132101,K562_TE_13488,chr4,998767,1011239,K562_MPT_9633,ENSG00000127418.10,FGFRL1,protein_coding,9,0.000397,K562,KARR-seq
chr4,48725436,48754619,K562_TE_16006,chr13,115042059,115052103,K562_MPT_3659,ENSG00000169062.10,UPF3A,protein_coding,9,0.000397,K562,KARR-seq
chr17,61117505,61129785,K562_TE_9424,chr2,206944329,206956027,K562_MPT_7848,ENSG00000227946.1,AC007383.3,lncRNA,9,0.000397,K562,KARR-seq
chr22,19383512,19412967,K562_SE_433,chr12,122321637,122331692,K562_MPT_3341,ENSG00000110801.9,PSMD9,protein_coding,9,0.000397,K562,KARR-seq
chr6,111201641,111206860,K562_TE_18884,chr3,5015801,5026646,K562_MPT_8863,ENSG00000235831.2,BHLHE40-AS1,lncRNA,9,0.000397,K562,KARR-seq
chr19,30438289,30459044,K562_TE_10556,chr1,45469223,45483579,K562_MPT_478,ENSG00000126088.8,UROD,protein_coding,9,0.000397,K562,KARR-seq
chr8,134545805,134564771,K562_TE_21649,chr11,18338721,18349143,K562_MPT_2101,ENSG00000110756.13,HPS5,protein_coding,9,0.000397,K562,KARR-seq
chr19,39126319,39184375,K562_SE_343,chr10,12232821,12243231,K562_MPT_1484,ENSG00000151465.9,CDC123,protein_coding,9,0.000397,K562,KARR-seq
chr15,42874001,42914886,K562_TE_7204,chr11,61679997,61692741,K562_MPT_2259,ENSG00000167994.7,RAB3IL1,protein_coding,9,0.000397,K562,KARR-seq
chr7,133268431,133269151,K562_TE_20498,chr17,40434565,40445561,K562_MPT_5528,ENSG00000126561.12,STAT5A,protein_coding,9,0.000397,K562,KARR-seq
chr17,80860961,80871290,K562_TE_9714,chr2,183898200,183908586,K562_MPT_7766,ENSG00000061676.10,NCKAP1,protein_coding,9,0.000397,K562,KARR-seq
chr9,132199009,132259396,K562_SE_732,chr12,54684542,54699986,K562_MPT_3014,ENSG00000123405.9,NFE2,protein_coding,9,0.000397,K562,KARR-seq
chr20,54991986,55023801,K562_SE_417,chr11,96069602,96081344,K562_MPT_2548,ENSG00000184384.9,MAML2,protein_coding,9,0.000397,K562,KARR-seq
chr13,99693720,99733652,K562_TE_6231,chr19,2264485,2275290,K562_MPT_6215,ENSG00000167476.6,JSRP1,protein_coding,9,0.000397,K562,KARR-seq
chr20,34458999,34475679,K562_TE_13152,chr9,116633562,116643630,K562_MPT_13052,ENSG00000157657.10,ZNF618,protein_coding,9,0.000397,K562,KARR-seq
chr19,44405524,44406354,K562_TE_10715,chr19,44400663,44411153,K562_MPT_6772,ENSG00000267058.1,RP11-15A1.3,lncRNA,9,0.000397,K562,KARR-seq
chr7,101482129,101596250,K562_SE_657,chr1,246347420,246362029,K562_MPT_1411,ENSG00000202184.1,RNU6-1283P,snRNA,9,0.000397,K562,KARR-seq
chr2,201254609,201274054,K562_TE_12534,chr2,95820082,95836562,K562_MPT_7465,ENSG00000144026.7,ZNF514,protein_coding,9,0.000397,K562,KARR-seq
chr9,127320803,127333850,K562_TE_22437,chr9,37899107,37909130,K562_MPT_12825,ENSG00000122696.8,SLC25A51,protein_coding,9,0.000397,K562,KARR-seq
chr3,169476224,169482869,K562_TE_15428,chr17,38204861,38233344,K562_MPT_5495,ENSG00000126351.8,THRA,protein_coding,9,0.000397,K562,KARR-seq
chr7,102608372,102634363,K562_SE_658,chr1,45236109,45251387,K562_MPT_473,ENSG00000207421.1,SNORD38B,snoRNA,9,0.000397,K562,KARR-seq
chr16,90231518,90294239,K562_TE_8666,chr7,98736642,98746723,K562_MPT_11895,ENSG00000198742.5,SMURF1,protein_coding,9,0.000397,K562,KARR-seq
chr6,53155206,53204126,K562_TE_18591,chr17,17104629,17114629,K562_MPT_5306,ENSG00000179598.5,PLD6,protein_coding,9,0.000397,K562,KARR-seq
chr1,40493565,40543607,K562_SE_36,chr3,195794690,195814060,K562_MPT_9585,ENSG00000072274.8,TFRC,protein_coding,9,0.000397,K562,KARR-seq
chr3,15082131,15098135,K562_TE_14396,chr17,4731683,4741879,K562_MPT_5217,ENSG00000141503.11,MINK1,protein_coding,9,0.000397,K562,KARR-seq
chr2,183806197,183815021,K562_TE_12404,chr20,54962187,54972707,K562_MPT_8301,ENSG00000087586.13,AURKA,protein_coding,9,0.000397,K562,KARR-seq
chr19,3371575,3397344,K562_TE_10239,chr1,32682529,32692972,K562_MPT_338,ENSG00000084623.7,EIF3I,protein_coding,9,0.000397,K562,KARR-seq
chr4,40665,63940,K562_TE_15724,chr9,139933544,139988633,K562_MPT_13240,ENSG00000231864.2,RP11-229P13.23,lncRNA,9,0.000397,K562,KARR-seq
chr13,41568957,41609336,K562_TE_5991,chr14,67995018,68005456,K562_MPT_3887,ENSG00000198133.4,TMEM229B,protein_coding,9,0.000397,K562,KARR-seq
chr5,134434411,134609091,K562_SE_545,chr4,170528734,170546988,K562_MPT_10086,ENSG00000109572.9,CLCN3,protein_coding,9,0.000397,K562,KARR-seq
chr16,48407446,48413964,K562_TE_8297,chr8,126958394,126968493,K562_MPT_12613,ENSG00000245164.2,LINC00861,lncRNA,9,0.000397,K562,KARR-seq
chr6,52402389,52423401,K562_TE_18577,chr20,47889578,47902220,K562_MPT_8258,ENSG00000212304.1,SNORD12,snoRNA,9,0.000397,K562,KARR-seq
chr1,32566195,32610476,K562_TE_479,chr2,190301159,190311159,K562_MPT_7776,ENSG00000115368.5,WDR75,protein_coding,9,0.000397,K562,KARR-seq
chr19,41319100,41350333,K562_SE_344,chr18,70926689,70936689,K562_MPT_6128,ENSG00000263711.1,RP11-169F17.1,protein_coding,9,0.000397,K562,KARR-seq
chr3,72424812,72462986,K562_TE_14860,chr6,44089651,44107770,K562_MPT_11115,ENSG00000180992.5,MRPL14,protein_coding,9,0.000397,K562,KARR-seq
chr3,151992874,152011414,K562_TE_15325,chr3,47818407,47828407,K562_MPT_9045,ENSG00000173473.6,SMARCC1,protein_coding,9,0.000397,K562,KARR-seq
chr13,91998935,92021979,K562_SE_218,chr20,61552821,61562855,K562_MPT_8343,ENSG00000101191.12,DIDO1,protein_coding,9,0.000397,K562,KARR-seq
chr1,61755333,61801045,K562_TE_875,chr1,53681289,53691335,K562_MPT_528,ENSG00000259818.1,RP5-1024G6.7,lncRNA,9,0.000397,K562,KARR-seq
chr1,16918531,16931039,K562_TE_229,chr9,101547885,101564247,K562_MPT_12989,ENSG00000165138.12,ANKS6,protein_coding,9,0.000397,K562,KARR-seq
chr22,22170419,22216528,K562_SE_440,chr5,178151384,178162703,K562_MPT_10719,ENSG00000169131.6,ZNF354A,protein_coding,9,0.000397,K562,KARR-seq
chr20,31060812,31117884,K562_TE_13094,chr19,53440847,53450854,K562_MPT_6969,ENSG00000213801.4,ZNF816-ZNF321P,pseudogene,9,0.000397,K562,KARR-seq
chr8,126110440,126123554,K562_TE_21568,chr6,32931437,32949190,K562_MPT_10995,ENSG00000223837.2,BRD2-IT1,lncRNA,9,0.000397,K562,KARR-seq
chr3,186654509,186678245,K562_TE_15615,chr20,49540353,49552958,K562_MPT_8282,ENSG00000101126.11,ADNP,protein_coding,9,0.000397,K562,KARR-seq
chr16,2703822,2737802,K562_TE_7877,chr16,1344167,1368996,K562_MPT_4613,ENSG00000260710.1,RP11-616M22.7,lncRNA,9,0.000397,K562,KARR-seq
chr5,10689205,10739844,K562_SE_528,chr20,3991036,4009564,K562_MPT_8035,ENSG00000101236.12,RNF24,protein_coding,9,0.000397,K562,KARR-seq
chr3,42042833,42103721,K562_TE_14587,chr1,202771427,202785090,K562_MPT_1188,ENSG00000228288.2,PCAT6,lncRNA,9,0.000397,K562,KARR-seq
chr15,66049626,66076639,K562_TE_7439,chr6,42842373,42852671,K562_MPT_11093,ENSG00000146223.10,RPL7L1,protein_coding,9,0.000397,K562,KARR-seq
chr19,19553596,19601338,K562_SE_339,chr12,51436745,51447861,K562_MPT_2967,ENSG00000050426.11,LETMD1,protein_coding,9,0.000397,K562,KARR-seq
chr9,123526850,123550395,K562_TE_22379,chr11,71805304,71828826,K562_MPT_2425,ENSG00000149357.5,LAMTOR1,protein_coding,9,0.000397,K562,KARR-seq
chr1,33446463,33490292,K562_TE_499,chr1,162462041,162472633,K562_MPT_1039,ENSG00000152332.11,UHMK1,protein_coding,9,0.000397,K562,KARR-seq
chr3,32742256,32751672,K562_TE_14492,chr16,30591818,30604241,K562_MPT_4862,ENSG00000261588.1,AC002310.17,pseudogene,9,0.000397,K562,KARR-seq
chrX,48562561,48655638,K562_SE_743,chr10,79784303,79798641,K562_MPT_1735,ENSG00000148606.8,POLR3A,protein_coding,9,0.000397,K562,KARR-seq
chr2,12570173,12597592,K562_TE_11068,chr10,43887279,43897794,K562_MPT_1585,ENSG00000169813.12,HNRNPF,protein_coding,9,0.000397,K562,KARR-seq
chr1,246148100,246176033,K562_TE_2394,chr3,49165453,49175551,K562_MPT_9068,ENSG00000172037.9,LAMB2,protein_coding,9,0.000397,K562,KARR-seq
chr16,68097816,68130888,K562_SE_273,chr9,33812565,33823793,K562_MPT_12779,ENSG00000235481.2,RP11-133O22.6,lncRNA,9,0.000397,K562,KARR-seq
chr5,115693740,115705874,K562_TE_17453,chr1,28827455,28850207,K562_MPT_305,ENSG00000200087.1,SNORA73B,snoRNA,9,0.000397,K562,KARR-seq
chrX,45629799,45631307,K562_TE_22897,chrX,118103581,118115295,K562_MPT_13586,ENSG00000175556.12,LONRF3,protein_coding,9,0.000397,K562,KARR-seq
chr18,55721644,55765011,K562_TE_10074,chr3,47861518,47871518,K562_MPT_9047,ENSG00000132153.10,DHX30,protein_coding,9,0.000397,K562,KARR-seq
chr7,135922004,135933750,K562_TE_20536,chr11,14516357,14526573,K562_MPT_2085,ENSG00000129083.8,COPB1,protein_coding,9,0.000397,K562,KARR-seq
chr19,13936208,13973162,K562_SE_335,chr15,66079462,66089631,K562_MPT_4354,ENSG00000174485.10,DENND4A,protein_coding,9,0.000397,K562,KARR-seq
chr12,62681613,62713302,K562_TE_5203,chr17,65357721,65367743,K562_MPT_5772,ENSG00000197170.5,PSMD12,protein_coding,9,0.000397,K562,KARR-seq
chr1,246267724,246281298,K562_TE_2397,chr19,19160118,19179808,K562_MPT_6538,ENSG00000105676.9,ARMC6,protein_coding,9,0.000397,K562,KARR-seq
chr18,43858620,43861937,K562_TE_9964,chr3,69783586,69793622,K562_MPT_9161,ENSG00000187098.10,MITF,protein_coding,9,0.000397,K562,KARR-seq
chr12,122492127,122530639,K562_SE_213,chr22,30225539,30239265,K562_MPT_8654,ENSG00000100325.10,ASCC2,protein_coding,9,0.000397,K562,KARR-seq
chr1,43388136,43495314,K562_SE_38,chr6,13675312,13692180,K562_MPT_10829,ENSG00000252966.1,RNU7-91P,snRNA,9,0.000397,K562,KARR-seq
chr18,9733561,9966563,K562_SE_328,chr2,97421639,97431639,K562_MPT_7481,ENSG00000158158.7,CNNM4,protein_coding,9,0.000397,K562,KARR-seq
chr9,114986168,114999047,K562_TE_22329,chr17,43345969,43356333,K562_MPT_5590,ENSG00000006062.9,MAP3K14,lncRNA,9,0.000397,K562,KARR-seq
chr1,12203889,12281299,K562_TE_179,chr11,65724160,65734160,K562_MPT_2344,ENSG00000175467.10,SART1,protein_coding,9,0.000397,K562,KARR-seq
chr7,120917246,120927488,K562_TE_20386,chr4,111114809,111125355,K562_MPT_9959,ENSG00000170522.5,ELOVL6,protein_coding,9,0.000397,K562,KARR-seq
chr5,153732436,153785239,K562_TE_17791,chr19,2264485,2275290,K562_MPT_6215,ENSG00000167476.6,JSRP1,protein_coding,9,0.000397,K562,KARR-seq
chr3,71256641,71315087,K562_TE_14844,chr5,175869629,175883763,K562_MPT_10689,ENSG00000221373.1,AC010297.1,miRNA,9,0.000397,K562,KARR-seq
chr2,112074467,112080635,K562_TE_11921,chr21,40711463,40726573,K562_MPT_8460,ENSG00000200344.1,Y_RNA,misc_RNA,9,0.000397,K562,KARR-seq
chr8,26159682,26188808,K562_TE_20921,chr4,76907090,76917113,K562_MPT_9849,ENSG00000198301.7,SDAD1,protein_coding,9,0.000397,K562,KARR-seq
chr22,19383512,19412967,K562_SE_433,chr1,219342186,219352303,K562_MPT_1279,ENSG00000143353.7,LYPLAL1,protein_coding,9,0.000397,K562,KARR-seq
chr1,161498964,161542042,K562_SE_77,chr18,60377672,60387683,K562_MPT_6117,ENSG00000081913.9,PHLPP1,protein_coding,9,0.000397,K562,KARR-seq
chr7,75939934,76044649,K562_SE_653,chr3,47818407,47828407,K562_MPT_9045,ENSG00000173473.6,SMARCC1,protein_coding,9,0.000397,K562,KARR-seq
chr16,88509252,88598161,K562_SE_287,chr7,107379142,107390026,K562_MPT_11985,ENSG00000105879.7,CBLL1,protein_coding,9,0.000397,K562,KARR-seq
chr17,47803189,47835401,K562_TE_9267,chr3,129607394,129617725,K562_MPT_9328,ENSG00000271270.1,TMCC1-AS1,lncRNA,9,0.000397,K562,KARR-seq
chr20,33475921,33504052,K562_TE_13130,chr7,142972050,142992708,K562_MPT_12126,ENSG00000231840.1,AC073342.12,lncRNA,9,0.000397,K562,KARR-seq
chr17,80157876,80165547,K562_TE_9706,chr11,33886362,33896362,K562_MPT_2144,ENSG00000135363.7,LMO2,protein_coding,9,0.000397,K562,KARR-seq
chr9,127872641,127895544,K562_TE_22446,chr1,110569199,110582241,K562_MPT_730,ENSG00000143093.10,STRIP1,protein_coding,9,0.000397,K562,KARR-seq
chr11,78057964,78112641,K562_TE_4288,chr3,176909211,176920261,K562_MPT_9479,ENSG00000177565.11,TBL1XR1,protein_coding,9,0.000397,K562,KARR-seq
chr1,16274455,16284787,K562_SE_10,chr9,140343944,140358786,K562_MPT_13251,ENSG00000165802.15,NSMF,protein_coding,9,0.000397,K562,KARR-seq
chr7,22472082,22492514,K562_TE_19568,chr9,139549873,139570054,K562_MPT_13227,ENSG00000199161.1,MIR126,miRNA,9,0.000397,K562,KARR-seq
chr9,132617858,132658432,K562_SE_733,chr9,139733867,139751819,K562_MPT_13234,ENSG00000177943.9,MAMDC4,protein_coding,9,0.000397,K562,KARR-seq
chr3,45082598,45261279,K562_SE_464,chr11,64895791,64907004,K562_MPT_2319,ENSG00000162298.12,SYVN1,protein_coding,9,0.000397,K562,KARR-seq
chr2,10451246,10550475,K562_SE_354,chr11,63575860,63591419,K562_MPT_2285,ENSG00000168005.4,C11orf84,protein_coding,9,0.000397,K562,KARR-seq
chrX,64892608,64942250,K562_TE_22977,chr13,38918988,38929252,K562_MPT_3499,ENSG00000120686.7,UFM1,protein_coding,9,0.000397,K562,KARR-seq
chr13,50760113,50783584,K562_TE_6087,chr3,12593513,12603589,K562_MPT_8903,ENSG00000075975.11,MKRN2,protein_coding,9,0.000397,K562,KARR-seq
chr20,60561986,60562363,K562_TE_13407,chr12,123863320,123879589,K562_MPT_3365,ENSG00000183955.8,SETD8,protein_coding,9,0.000397,K562,KARR-seq
chr8,145275186,145288625,K562_TE_21713,chr1,155934520,155953890,K562_MPT_960,ENSG00000273002.1,RP11-336K24.12,lncRNA,9,0.000397,K562,KARR-seq
chr1,26989411,27048025,K562_SE_24,chr2,232318068,232334305,K562_MPT_7932,ENSG00000115053.11,NCL,protein_coding,9,0.000397,K562,KARR-seq
chr19,59092207,59118088,K562_SE_353,chr6,119665901,119675926,K562_MPT_11317,ENSG00000111885.5,MAN1A1,protein_coding,9,0.000397,K562,KARR-seq
chr3,4753839,4814516,K562_SE_448,chr1,41148260,41162962,K562_MPT_433,ENSG00000066136.15,NFYC,protein_coding,9,0.000397,K562,KARR-seq
chr16,4332460,4358265,K562_TE_7907,chr11,73877029,73887388,K562_MPT_2447,ENSG00000214517.4,PPME1,protein_coding,9,0.000397,K562,KARR-seq
chr2,15496960,15498346,K562_TE_11088,chr5,36871861,36890308,K562_MPT_10217,ENSG00000164190.12,NIPBL,protein_coding,9,0.000397,K562,KARR-seq
chr22,24013519,24027990,K562_TE_13861,chr19,55982699,56010258,K562_MPT_7013,ENSG00000090971.4,NAT14,protein_coding,9,0.000397,K562,KARR-seq
chr2,202013104,202023457,K562_TE_12550,chr19,48889112,48903132,K562_MPT_6869,ENSG00000105464.3,GRIN2D,protein_coding,9,0.000397,K562,KARR-seq
chr5,138306657,138321727,K562_TE_17621,chr15,83310874,83321728,K562_MPT_4485,ENSG00000259462.1,RP11-752G15.3,lncRNA,9,0.000397,K562,KARR-seq
chr1,8448048,8470262,K562_TE_105,chr1,184001611,184011863,K562_MPT_1142,ENSG00000198756.6,COLGALT2,protein_coding,9,0.000397,K562,KARR-seq
chr3,146220655,146240738,K562_TE_15279,chr6,43585541,43617783,K562_MPT_11110,ENSG00000172432.14,GTPBP2,protein_coding,9,0.000397,K562,KARR-seq
chr2,242822856,242835592,K562_TE_12876,chr17,41271132,41282661,K562_MPT_5549,ENSG00000012048.15,BRCA1,protein_coding,9,0.000397,K562,KARR-seq
chr19,48688788,48710364,K562_TE_10798,chr9,35727332,35737392,K562_MPT_12797,ENSG00000107175.6,CREB3,protein_coding,9,0.000397,K562,KARR-seq
chr7,92238266,92271962,K562_TE_20088,chr6,134268308,134279362,K562_MPT_11355,ENSG00000028839.5,TBPL1,protein_coding,9,0.000397,K562,KARR-seq
chr9,140181607,140211514,K562_TE_22635,chr9,140185173,140201703,K562_MPT_13248,ENSG00000198435.2,NRARP,protein_coding,9,0.000397,K562,KARR-seq
chr10,11540333,11648356,K562_SE_120,chr8,117763023,117773061,K562_MPT_12580,ENSG00000147677.6,EIF3H,protein_coding,9,0.000397,K562,KARR-seq
chr8,106987488,106988391,K562_TE_21470,chr14,100836279,100848142,K562_MPT_4034,ENSG00000140105.13,WARS,protein_coding,9,0.000397,K562,KARR-seq
