gene_chr	gene_chr_start	gene_chr_end	ENSG	gene_id	gene_type	strand	promoter_chr	promoter_chr_start	promoter_chr_end	promoter_id	enhancer_chr	enhancer_chr_start	enhancer_chr_end	enhancer_id	reads_count	P-value	cell_line	methods
chr19	56152428	56164527	ENSG00000173581.3	CCDC106	protein_coding	+	chr19	56141382	56171431	K562_MPT_7018	chr16	23853484	23934208	K562_SE_269	20	4.54e-6	K562	KARR-seq
chr19	56165512	56186081	ENSG00000063244.8	U2AF2	protein_coding	+	chr19	56141382	56171431	K562_MPT_7018	chr16	23853484	23934208	K562_SE_269	20	4.54e-6	K562	KARR-seq
chr19	56146382	56154835	ENSG00000213015.4	ZNF580	protein_coding	+	chr19	56141382	56171431	K562_MPT_7018	chr16	23853484	23934208	K562_SE_269	20	4.54e-6	K562	KARR-seq
chr19	12798867	12807457	ENSG00000132004.8	FBXW9	protein_coding	-	chr19	12802395	12812457	K562_MPT_6416	chr7	148543453	148572852	K562_TE_20642	20	1.29e-7	K562	KARR-seq
chr17	38595719	38596169	ENSG00000240125.1	RP11-58O9.1	pseudogene	-	chr17	38591169	38604713	K562_MPT_5506	chr11	65167965	65217131	K562_SE_178	20	1.94e-7	K562	KARR-seq
chr17	38599702	38613983	ENSG00000141753.5	IGFBP4	protein_coding	+	chr17	38591169	38604713	K562_MPT_5506	chr11	65167965	65217131	K562_SE_178	20	1.94e-7	K562	KARR-seq
chr4	129190397	129209984	ENSG00000164040.12	PGRMC2	protein_coding	-	chr4	129202942	129219088	K562_MPT_10002	chr6	68585750	68609380	K562_SE_605	20	1.99e-7	K562	KARR-seq
chr4	129213906	129440549	ENSG00000251432.2	RP11-420A23.1	lncRNA	+	chr4	129202942	129219088	K562_MPT_10002	chr6	68585750	68609380	K562_SE_605	20	1.99e-7	K562	KARR-seq
chr11	120207787	120360645	ENSG00000196914.4	ARHGEF12	protein_coding	+	chr11	120202787	120212946	K562_MPT_2643	chr1	246294272	246388032	K562_SE_112	20	1.61e-7	K562	KARR-seq
chr12	22199108	22218608	ENSG00000111726.8	CMAS	protein_coding	+	chr12	22194108	22213053	K562_MPT_2826	chr11	65235059	65278329	K562_SE_179	20	1.28e-3	K562	KARR-seq
chr8	41786997	41909508	ENSG00000083168.5	KAT6A	protein_coding	-	chr8	41904505	41914508	K562_MPT_12369	chr4	87933401	87964832	K562_TE_16271	20	1.22e-7	K562	KARR-seq
chr1	51983981	52027301	ENSG00000227070.1	RP11-191G24.1	lncRNA	+	chr1	51978981	51990000	K562_MPT_510	chr11	65235059	65278329	K562_SE_179	20	3.97e-3	K562	KARR-seq
chr1	51819935	51985000	ENSG00000085832.12	EPS15	protein_coding	-	chr1	51978981	51990000	K562_MPT_510	chr11	65235059	65278329	K562_SE_179	20	3.97e-3	K562	KARR-seq
chr22	19929130	19957498	ENSG00000093010.7	COMT	protein_coding	+	chr22	19945070	19956276	K562_MPT_8551	chr11	65235059	65278329	K562_SE_179	19	9.49e-2	K562	KARR-seq
chr22	19951276	19951357	ENSG00000265087.1	MIR4761	miRNA	+	chr22	19945070	19956276	K562_MPT_8551	chr11	65235059	65278329	K562_SE_179	19	9.49e-2	K562	KARR-seq
chr2	190425305	190448484	ENSG00000138449.6	SLC40A1	protein_coding	-	chr2	190440613	190453484	K562_MPT_7777	chr2	48097600	48100637	K562_TE_11426	19	8.14e-7	K562	KARR-seq
chr3	4938493	5021646	ENSG00000235831.2	BHLHE40-AS1	lncRNA	-	chr3	5015801	5026646	K562_MPT_8863	chr6	137037362	137108659	K562_SE_617	19	7.54e-7	K562	KARR-seq
chr3	5020801	5027008	ENSG00000134107.4	BHLHE40	protein_coding	+	chr3	5015801	5026646	K562_MPT_8863	chr6	137037362	137108659	K562_SE_617	19	7.54e-7	K562	KARR-seq
chr1	156561554	156564091	ENSG00000163382.7	APOA1BP	protein_coding	+	chr1	156552747	156576282	K562_MPT_976	chr1	51307758	51319292	K562_TE_751	19	8.14e-7	K562	KARR-seq
chr1	156557648	156557747	ENSG00000265960.1	AL365181.1	miRNA	-	chr1	156552747	156576282	K562_MPT_976	chr1	51307758	51319292	K562_TE_751	19	8.14e-7	K562	KARR-seq
chr1	156564279	156571288	ENSG00000160818.12	GPATCH4	protein_coding	-	chr1	156552747	156576282	K562_MPT_976	chr1	51307758	51319292	K562_TE_751	19	8.14e-7	K562	KARR-seq
chr19	19496635	19619740	ENSG00000167491.13	GATAD2A	protein_coding	+	chr19	19508412	19521603	K562_MPT_6545	chr9	132874093	132913703	K562_TE_22537	19	8.14e-7	K562	KARR-seq
chr19	19512788	19513412	ENSG00000267234.1	CTB-184G21.3	lncRNA	-	chr19	19508412	19521603	K562_MPT_6545	chr9	132874093	132913703	K562_TE_22537	19	8.14e-7	K562	KARR-seq
chr6	34256547	34393825	ENSG00000270800.1	RPS10-NUDT3	protein_coding	-	chr6	34387998	34398902	K562_MPT_11019	chr11	46442681	46473142	K562_TE_3902	19	7.61e-7	K562	KARR-seq
chr6	34385231	34393902	ENSG00000124614.9	RPS10	protein_coding	-	chr6	34387998	34398902	K562_MPT_11019	chr11	46442681	46473142	K562_TE_3902	19	7.61e-7	K562	KARR-seq
chr22	20116979	20135530	ENSG00000099904.11	ZDHHC8	protein_coding	+	chr22	20094398	20124471	K562_MPT_8555	chr15	80386162	80397988	K562_TE_7625	18	1.38e-6	K562	KARR-seq
chr22	20098344	20099398	ENSG00000243762.1	AC006547.8	lncRNA	-	chr22	20094398	20124471	K562_MPT_8555	chr15	80386162	80397988	K562_TE_7625	18	1.38e-6	K562	KARR-seq
chr1	8571854	8571978	ENSG00000221083.1	SNORA77	snoRNA	-	chr22	20094398	20124471	K562_MPT_8555	chr15	80386162	80397988	K562_TE_7625	18	1.38e-6	K562	KARR-seq
chr22	20103461	20114878	ENSG00000099901.12	RANBP1	protein_coding	+	chr22	20094398	20124471	K562_MPT_8555	chr15	80386162	80397988	K562_TE_7625	18	1.38e-6	K562	KARR-seq
chr22	20099389	20104915	ENSG00000099899.10	TRMT2A	protein_coding	-	chr22	20094398	20124471	K562_MPT_8555	chr15	80386162	80397988	K562_TE_7625	18	1.38e-6	K562	KARR-seq
chr5	139959252	139959377	ENSG00000200235.1	SNORA27	snoRNA	+	chr13	27820446	27834538	K562_MPT_3465	chr3	60228803	60294909	K562_SE_470	18	1.38e-6	K562	KARR-seq
chr13	27825446	27830828	ENSG00000122026.6	RPL21	protein_coding	+	chr13	27820446	27834538	K562_MPT_3465	chr3	60228803	60294909	K562_SE_470	18	1.38e-6	K562	KARR-seq
chr13	27829201	27829272	ENSG00000207500.1	SNORD102	snoRNA	+	chr13	27820446	27834538	K562_MPT_3465	chr3	60228803	60294909	K562_SE_470	18	1.38e-6	K562	KARR-seq
chr19	50431959	50437192	ENSG00000169136.4	ATF5	protein_coding	+	chr19	50426959	50441321	K562_MPT_6907	chr17	74551794	74583449	K562_SE_318	18	1.65e-6	K562	KARR-seq
chr19	50410082	50433020	ENSG00000213024.6	NUP62	protein_coding	-	chr19	50426959	50441321	K562_MPT_6907	chr17	74551794	74583449	K562_SE_318	18	1.65e-6	K562	KARR-seq
chr19	50436321	50436394	ENSG00000265438.1	MIR4751	miRNA	+	chr19	50426959	50441321	K562_MPT_6907	chr17	74551794	74583449	K562_SE_318	18	1.65e-6	K562	KARR-seq
chr19	50392911	50432796	ENSG00000104951.11	IL4I1	protein_coding	-	chr19	50426959	50441321	K562_MPT_6907	chr17	74551794	74583449	K562_SE_318	18	1.65e-6	K562	KARR-seq
chr6	37137979	37143202	ENSG00000137193.9	PIM1	protein_coding	+	chr6	37132979	37142979	K562_MPT_11054	chr9	95248655	95268384	K562_TE_22135	18	1.38e-6	K562	KARR-seq
chr11	71639747	71708643	ENSG00000137522.13	RNF121	protein_coding	+	chr11	71634449	71645128	K562_MPT_2421	chr3	42042833	42103721	K562_TE_14587	18	1.38e-6	K562	KARR-seq
chr11	71576555	71639700	ENSG00000254469.3	RP11-849H4.2	protein_coding	-	chr11	71634449	71645128	K562_MPT_2421	chr3	42042833	42103721	K562_TE_14587	18	1.38e-6	K562	KARR-seq
chr16	23592323	23607677	ENSG00000004779.5	NDUFAB1	protein_coding	-	chr16	23597474	23612677	K562_MPT_4784	chr11	65235059	65278329	K562_SE_179	18	1.80e-3	K562	KARR-seq
chr4	174053079	174090803	ENSG00000245213.2	RP11-10K16.1	lncRNA	-	chr4	174084904	174095803	K562_MPT_10090	chr11	65235059	65278329	K562_SE_179	18	1.10e-2	K562	KARR-seq
chr4	174089904	174245118	ENSG00000109586.7	GALNT7	protein_coding	+	chr4	174084904	174095803	K562_MPT_10090	chr11	65235059	65278329	K562_SE_179	18	1.10e-2	K562	KARR-seq
chr10	6469105	6622263	ENSG00000065675.10	PRKCQ	protein_coding	-	chr10	6617201	6633186	K562_MPT_1468	chr12	116553715	116655574	K562_TE_5637	18	1.67e-6	K562	KARR-seq
chr10	6622381	6658414	ENSG00000237943.2	PRKCQ-AS1	lncRNA	+	chr10	6617201	6633186	K562_MPT_1468	chr12	116553715	116655574	K562_TE_5637	18	1.67e-6	K562	KARR-seq
chr7	104590762	104653491	ENSG00000228393.3	LINC01004	lncRNA	-	chr7	104648471	104659908	K562_MPT_11965	chr11	65235059	65278329	K562_SE_179	18	3.34e-2	K562	KARR-seq
chr7	104654626	104754808	ENSG00000005483.15	KMT2E	protein_coding	+	chr7	104648471	104659908	K562_MPT_11965	chr11	65235059	65278329	K562_SE_179	18	3.34e-2	K562	KARR-seq
chr7	104653872	104654768	ENSG00000239569.2	KMT2E-AS1	lncRNA	-	chr7	104648471	104659908	K562_MPT_11965	chr11	65235059	65278329	K562_SE_179	18	3.34e-2	K562	KARR-seq
chr17	25620936	25621022	ENSG00000263583.1	MIR4522	miRNA	-	chr17	25616022	25626372	K562_MPT_5367	chr2	198773865	198819349	K562_SE_391	18	1.65e-6	K562	KARR-seq
chr17	25621102	25640657	ENSG00000109046.10	WSB1	protein_coding	+	chr17	25616022	25626372	K562_MPT_5367	chr2	198773865	198819349	K562_SE_391	18	1.65e-6	K562	KARR-seq
chr15	78830023	78831288	ENSG00000268838.1	AC027228.1	protein_coding	+	chr15	78825023	78841987	K562_MPT_4454	chr6	147171445	147272129	K562_SE_624	18	1.38e-6	K562	KARR-seq
chr15	78832747	78841604	ENSG00000041357.11	PSMA4	protein_coding	+	chr15	78825023	78841987	K562_MPT_4454	chr6	147171445	147272129	K562_SE_624	18	1.38e-6	K562	KARR-seq
chr3	25824408	25836025	ENSG00000151093.3	OXSM	protein_coding	+	chr3	25815164	25837277	K562_MPT_8950	chr11	65235059	65278329	K562_SE_179	18	8.51e-4	K562	KARR-seq
chr3	25760435	25831530	ENSG00000151092.12	NGLY1	protein_coding	-	chr3	25815164	25837277	K562_MPT_8950	chr11	65235059	65278329	K562_SE_179	18	8.51e-4	K562	KARR-seq
chr9	33785948	33818793	ENSG00000235481.2	RP11-133O22.6	lncRNA	-	chr9	33812565	33823793	K562_MPT_12779	chr10	11916377	11968192	K562_SE_121	18	1.65e-6	K562	KARR-seq
chr9	33817565	33920402	ENSG00000107341.4	UBE2R2	protein_coding	+	chr9	33812565	33823793	K562_MPT_12779	chr10	11916377	11968192	K562_SE_121	18	1.65e-6	K562	KARR-seq
chr1	1822910	1824097	ENSG00000231050.1	RP1-140A9.1	lncRNA	+	chr1	1816840	1827910	K562_MPT_44	chr11	65235059	65278329	K562_SE_179	18	8.36e-4	K562	KARR-seq
chr1	1716729	1822495	ENSG00000078369.13	GNB1	protein_coding	-	chr1	1816840	1827910	K562_MPT_44	chr11	65235059	65278329	K562_SE_179	18	8.36e-4	K562	KARR-seq
chr3	186500994	186507689	ENSG00000156976.10	EIF4A2	protein_coding	+	chr3	186495994	186514639	K562_MPT_9544	chr14	81764795	81773174	K562_TE_6792	18	1.25e-6	K562	KARR-seq
chr3	186499569	186501968	ENSG00000263826.1	RP11-573D15.9	lncRNA	-	chr3	186495994	186514639	K562_MPT_9544	chr14	81764795	81773174	K562_TE_6792	18	1.25e-6	K562	KARR-seq
chr3	183170355	183170552	ENSG00000253092.1	SNORA81	snoRNA	+	chr3	186495994	186514639	K562_MPT_9544	chr14	81764795	81773174	K562_TE_6792	18	1.25e-6	K562	KARR-seq
chr3	186502585	186502653	ENSG00000238942.1	SNORD2	snoRNA	+	chr3	186495994	186514639	K562_MPT_9544	chr14	81764795	81773174	K562_TE_6792	18	1.25e-6	K562	KARR-seq
chr1	36884051	36884179	ENSG00000201448.1	SNORA63	snoRNA	-	chr3	186495994	186514639	K562_MPT_9544	chr14	81764795	81773174	K562_TE_6792	18	1.25e-6	K562	KARR-seq
chr3	186507669	186524847	ENSG00000163918.6	RFC4	protein_coding	-	chr3	186495994	186514639	K562_MPT_9544	chr14	81764795	81773174	K562_TE_6792	18	1.25e-6	K562	KARR-seq
chr2	198269442	198269578	ENSG00000202434.1	SNORA4	snoRNA	+	chr3	186495994	186514639	K562_MPT_9544	chr14	81764795	81773174	K562_TE_6792	18	1.25e-6	K562	KARR-seq
chr21	46269500	46293752	ENSG00000183255.7	PTTG1IP	protein_coding	-	chr21	46288606	46298752	K562_MPT_8498	chr8	96074459	96130471	K562_SE_691	18	1.38e-6	K562	KARR-seq
chr2	145275664	145279058	ENSG00000238057.4	ZEB2-AS1	lncRNA	+	chr2	145270115	145283621	K562_MPT_7656	chr1	65349691	65427295	K562_TE_899	18	1.76e-6	K562	KARR-seq
chr2	145141648	145282147	ENSG00000169554.12	ZEB2	protein_coding	-	chr2	145270115	145283621	K562_MPT_7656	chr1	65349691	65427295	K562_TE_899	18	1.76e-6	K562	KARR-seq
chr11	747329	765024	ENSG00000177156.6	TALDO1	protein_coding	+	chr11	742329	752428	K562_MPT_1975	chr8	21765506	21829522	K562_SE_680	18	1.38e-6	K562	KARR-seq
chr16	89558425	89570868	ENSG00000261118.1	RP11-104N10.1	lncRNA	-	chr16	89551726	89565201	K562_MPT_5152	chr6	68585750	68609380	K562_SE_605	18	3.53e-5	K562	KARR-seq
chr16	89334038	89556969	ENSG00000167522.10	ANKRD11	protein_coding	-	chr16	89551726	89565201	K562_MPT_5152	chr6	68585750	68609380	K562_SE_605	18	3.53e-5	K562	KARR-seq
chr7	1036622	1177896	ENSG00000146540.10	C7orf50	protein_coding	-	chr7	1057662	1073661	K562_MPT_11498	chr19	18580941	18626337	K562_TE_10500	18	1.38e-6	K562	KARR-seq
chr7	1062569	1062662	ENSG00000199023.1	MIR339	miRNA	-	chr7	1057662	1073661	K562_MPT_11498	chr19	18580941	18626337	K562_TE_10500	18	1.38e-6	K562	KARR-seq
chr7	1068661	1083527	ENSG00000225146.1	AC073957.15	lncRNA	+	chr7	1057662	1073661	K562_MPT_11498	chr19	18580941	18626337	K562_TE_10500	18	1.38e-6	K562	KARR-seq
chr22	21771693	21805752	ENSG00000169635.5	HIC2	protein_coding	+	chr22	21766693	21779925	K562_MPT_8584	chr22	21845384	21889457	K562_SE_437	18	1.25e-6	K562	KARR-seq
chr9	37120536	37358146	ENSG00000147905.13	ZCCHC7	protein_coding	+	chr9	37115536	37125602	K562_MPT_12812	chr9	37079146	37105489	K562_TE_21896	17	4.45e-6	K562	KARR-seq
chr1	161719548	161727028	ENSG00000081721.7	DUSP12	protein_coding	+	chr1	161714560	161724560	K562_MPT_1033	chr2	168701147	168710637	K562_TE_12247	17	4.45e-6	K562	KARR-seq
chr3	52002526	52017425	ENSG00000114779.15	ABHD14B	protein_coding	-	chr3	51991908	52022553	K562_MPT_9100	chr11	65235059	65278329	K562_SE_179	17	3.00e-2	K562	KARR-seq
chr3	52009066	52023199	ENSG00000114786.11	ABHD14A-ACY1	protein_coding	+	chr3	51991908	52022553	K562_MPT_9100	chr11	65235059	65278329	K562_SE_179	17	3.00e-2	K562	KARR-seq
chr3	51995228	52008047	ENSG00000254782.1	RP11-155D18.12	lncRNA	-	chr3	51991908	52022553	K562_MPT_9100	chr11	65235059	65278329	K562_SE_179	17	3.00e-2	K562	KARR-seq
chr3	51994317	52008032	ENSG00000272762.1	RP11-155D18.14	protein_coding	-	chr3	51991908	52022553	K562_MPT_9100	chr11	65235059	65278329	K562_SE_179	17	3.00e-2	K562	KARR-seq
chr3	52009066	52023213	ENSG00000243989.3	ACY1	protein_coding	+	chr3	51991908	52022553	K562_MPT_9100	chr11	65235059	65278329	K562_SE_179	17	3.00e-2	K562	KARR-seq
chr3	52005442	52015212	ENSG00000248487.4	ABHD14A	protein_coding	+	chr3	51991908	52022553	K562_MPT_9100	chr11	65235059	65278329	K562_SE_179	17	3.00e-2	K562	KARR-seq
chr3	51991470	52002426	ENSG00000090097.16	PCBP4	protein_coding	-	chr3	51991908	52022553	K562_MPT_9100	chr11	65235059	65278329	K562_SE_179	17	3.00e-2	K562	KARR-seq
chr20	54933971	54943719	ENSG00000124098.9	FAM210B	protein_coding	+	chr20	54928971	54939165	K562_MPT_8300	chr17	44155283	44237935	K562_SE_309	17	4.88e-6	K562	KARR-seq
chr9	138354573	138372623	ENSG00000225361.3	PPP1R26-AS1	lncRNA	-	chr9	138359095	138381238	K562_MPT_13214	chr19	12751229	12763321	K562_TE_10396	17	4.45e-6	K562	KARR-seq
chr9	138370925	138380739	ENSG00000196422.6	PPP1R26	protein_coding	+	chr9	138359095	138381238	K562_MPT_13214	chr19	12751229	12763321	K562_TE_10396	17	4.45e-6	K562	KARR-seq
chr2	220378892	220403494	ENSG00000072182.8	ASIC4	protein_coding	+	chr2	220374052	220386599	K562_MPT_7903	chr8	130546590	130605033	K562_SE_702	17	7.50e-6	K562	KARR-seq
chr2	220346795	220381599	ENSG00000227432.1	AC053503.11	lncRNA	-	chr2	220374052	220386599	K562_MPT_7903	chr8	130546590	130605033	K562_SE_702	17	7.50e-6	K562	KARR-seq
chr9	100362362	100395962	ENSG00000136925.10	TSTD2	protein_coding	-	chr9	100390857	100403333	K562_MPT_12977	chr1	224003589	224028500	K562_TE_2175	17	4.45e-6	K562	KARR-seq
chr9	100396797	100398333	ENSG00000231521.1	RP11-244N9.4	lncRNA	-	chr9	100390857	100403333	K562_MPT_12977	chr1	224003589	224028500	K562_TE_2175	17	4.45e-6	K562	KARR-seq
chr9	100395908	100436030	ENSG00000136937.8	NCBP1	protein_coding	+	chr9	100390857	100403333	K562_MPT_12977	chr1	224003589	224028500	K562_TE_2175	17	4.45e-6	K562	KARR-seq
chr12	57057127	57082159	ENSG00000110958.11	PTGES3	protein_coding	-	chr12	57076946	57087159	K562_MPT_3051	chr11	65235059	65278329	K562_SE_179	17	1.66e-2	K562	KARR-seq
chr21	38737779	38738234	ENSG00000273210.1	AP001437.1	lncRNA	-	chr21	38733234	38744883	K562_MPT_8455	chr6	68585750	68609380	K562_SE_605	17	3.12e-4	K562	KARR-seq
chr21	38738092	38889753	ENSG00000157540.15	DYRK1A	protein_coding	+	chr21	38733234	38744883	K562_MPT_8455	chr6	68585750	68609380	K562_SE_605	17	3.12e-4	K562	KARR-seq
chr16	88709691	88717560	ENSG00000051523.6	CYBA	protein_coding	-	chr16	88700001	88722560	K562_MPT_5138	chr11	65235059	65278329	K562_SE_179	17	1.16e-1	K562	KARR-seq
chr16	88704999	88706881	ENSG00000124391.4	IL17C	protein_coding	+	chr16	88700001	88722560	K562_MPT_5138	chr11	65235059	65278329	K562_SE_179	17	1.16e-1	K562	KARR-seq
chr19	14513529	14519535	ENSG00000267379.1	CTC-548K16.5	lncRNA	-	chr19	14514535	14535179	K562_MPT_6450	chr11	65235059	65278329	K562_SE_179	17	9.89e-2	K562	KARR-seq
chr19	14519631	14530192	ENSG00000123136.10	DDX39A	protein_coding	-	chr19	14514535	14535179	K562_MPT_6450	chr11	65235059	65278329	K562_SE_179	17	9.89e-2	K562	KARR-seq
chr12	110718561	110788898	ENSG00000174437.12	ATP2A2	protein_coding	+	chr12	110713561	110724486	K562_MPT_3252	chr11	65235059	65278329	K562_SE_179	17	1.07e-2	K562	KARR-seq
chr13	73028040	73028105	ENSG00000212377.1	SNORD37	snoRNA	-	chr19	3977570	3990467	K562_MPT_6257	chr11	65235059	65278329	K562_SE_179	17	1.12e-2	K562	KARR-seq
chr19	3976054	3985467	ENSG00000167658.11	EEF2	protein_coding	-	chr19	3977570	3990467	K562_MPT_6257	chr11	65235059	65278329	K562_SE_179	17	1.12e-2	K562	KARR-seq
chr19	45666186	45681495	ENSG00000007255.6	TRAPPC6A	protein_coding	-	chr19	45676485	45687927	K562_MPT_6808	chr3	11674634	11679818	K562_TE_14352	17	4.45e-6	K562	KARR-seq
chr19	45682003	45685059	ENSG00000189114.6	BLOC1S3	protein_coding	+	chr19	45676485	45687927	K562_MPT_6808	chr3	11674634	11679818	K562_TE_14352	17	4.45e-6	K562	KARR-seq
chr19	10397643	10399198	ENSG00000105371.8	ICAM4	protein_coding	+	chr19	10390784	10406653	K562_MPT_6357	chr11	65235059	65278329	K562_SE_179	17	1.17e-2	K562	KARR-seq
chr19	10400657	10407454	ENSG00000105376.4	ICAM5	protein_coding	+	chr19	10390784	10406653	K562_MPT_6357	chr11	65235059	65278329	K562_SE_179	17	1.17e-2	K562	KARR-seq
chr19	10362944	10395784	ENSG00000266978.1	CTD-2369P2.5	lncRNA	-	chr19	10390784	10406653	K562_MPT_6357	chr11	65235059	65278329	K562_SE_179	17	1.17e-2	K562	KARR-seq
chr19	10396477	10399695	ENSG00000267607.1	CTD-2369P2.8	lncRNA	-	chr19	10390784	10406653	K562_MPT_6357	chr11	65235059	65278329	K562_SE_179	17	1.17e-2	K562	KARR-seq
chrX	48770459	48776301	ENSG00000102096.9	PIM2	protein_coding	-	chrX	48763913	48781301	K562_MPT_13403	chr11	65235059	65278329	K562_SE_179	17	5.77e-2	K562	KARR-seq
chrX	48760459	48769235	ENSG00000102100.10	SLC35A2	protein_coding	-	chrX	48763913	48781301	K562_MPT_13403	chr11	65235059	65278329	K562_SE_179	17	5.77e-2	K562	KARR-seq
chr20	32262323	32263186	ENSG00000271803.1	RP1-63M2.5	lncRNA	+	chr20	32245090	32267323	K562_MPT_8133	chr16	85210066	85383708	K562_SE_282	17	5.32e-6	K562	KARR-seq
chr20	32244893	32262269	ENSG00000125967.12	NECAB3	protein_coding	-	chr20	32245090	32267323	K562_MPT_8133	chr16	85210066	85383708	K562_SE_282	17	5.32e-6	K562	KARR-seq
chr20	32250090	32253425	ENSG00000149609.5	C20orf144	protein_coding	+	chr20	32245090	32267323	K562_MPT_8133	chr16	85210066	85383708	K562_SE_282	17	5.32e-6	K562	KARR-seq
chr20	32254304	32256331	ENSG00000182584.4	ACTL10	protein_coding	+	chr20	32245090	32267323	K562_MPT_8133	chr16	85210066	85383708	K562_SE_282	17	5.32e-6	K562	KARR-seq
chr17	60536019	60692842	ENSG00000146872.13	TLK2	protein_coding	+	chr17	60550200	60563482	K562_MPT_5734	chr7	128152174	128182652	K562_TE_20431	17	4.45e-6	K562	KARR-seq
chr7	99040552	99040747	ENSG00000214314.1	AC073063.1	protein_coding	+	chr7	99031270	99046119	K562_MPT_11900	chr11	65235059	65278329	K562_SE_179	17	5.19e-4	K562	KARR-seq
chr7	99014362	99063787	ENSG00000106246.13	PTCD1	protein_coding	-	chr7	99031270	99046119	K562_MPT_11900	chr11	65235059	65278329	K562_SE_179	17	5.19e-4	K562	KARR-seq
chr7	99040513	99041119	ENSG00000228335.1	AC073063.10	pseudogene	-	chr7	99031270	99046119	K562_MPT_11900	chr11	65235059	65278329	K562_SE_179	17	5.19e-4	K562	KARR-seq
chr7	99036545	99054994	ENSG00000160917.10	CPSF4	protein_coding	+	chr7	99031270	99046119	K562_MPT_11900	chr11	65235059	65278329	K562_SE_179	17	5.19e-4	K562	KARR-seq
chr19	19144384	19170563	ENSG00000105676.9	ARMC6	protein_coding	+	chr19	19160118	19179808	K562_MPT_6538	chr11	65235059	65278329	K562_SE_179	17	1.12e-2	K562	KARR-seq
chr19	19174808	19223697	ENSG00000181035.9	SLC25A42	protein_coding	+	chr19	19160118	19179808	K562_MPT_6538	chr11	65235059	65278329	K562_SE_179	17	1.12e-2	K562	KARR-seq
chr17	79801035	79818570	ENSG00000185624.10	P4HB	protein_coding	-	chr17	79812091	79834282	K562_MPT_5915	chr2	109208963	109258586	K562_SE_377	17	4.89e-6	K562	KARR-seq
chr17	79825597	79826428	ENSG00000262413.1	RP11-498C9.3	lncRNA	+	chr17	79812091	79834282	K562_MPT_5915	chr2	109208963	109258586	K562_SE_377	17	4.89e-6	K562	KARR-seq
chr17	79825597	79829282	ENSG00000141522.7	ARHGDIA	protein_coding	-	chr17	79812091	79834282	K562_MPT_5915	chr2	109208963	109258586	K562_SE_377	17	4.89e-6	K562	KARR-seq
chr14	52456193	52471420	ENSG00000087302.4	C14orf166	protein_coding	+	chr14	52448937	52465444	K562_MPT_3812	chr11	65235059	65278329	K562_SE_179	17	7.75e-5	K562	KARR-seq
chr14	52449238	52453937	ENSG00000258854.1	RP11-463J10.4	lncRNA	-	chr14	52448937	52465444	K562_MPT_3812	chr11	65235059	65278329	K562_SE_179	17	7.75e-5	K562	KARR-seq
chr22	39709824	39709916	ENSG00000209480.1	SNORD83B	snoRNA	-	chr22	39704916	39720776	K562_MPT_8751	chr11	65235059	65278329	K562_SE_179	17	2.86e-2	K562	KARR-seq
chr22	39711218	39711312	ENSG00000209482.1	SNORD83A	snoRNA	-	chr22	39704916	39720776	K562_MPT_8751	chr11	65235059	65278329	K562_SE_179	17	2.86e-2	K562	KARR-seq
chr22	39708887	39716394	ENSG00000100316.11	RPL3	protein_coding	-	chr22	39704916	39720776	K562_MPT_8751	chr11	65235059	65278329	K562_SE_179	17	2.86e-2	K562	KARR-seq
chr11	74427732	74427794	ENSG00000212277.1	SNORD43	snoRNA	-	chr22	39704916	39720776	K562_MPT_8751	chr11	65235059	65278329	K562_SE_179	17	2.86e-2	K562	KARR-seq
chr22	19929130	19957498	ENSG00000093010.7	COMT	protein_coding	+	chr22	19945070	19956276	K562_MPT_8551	chr10	81504479	81508005	K562_TE_3071	16	7.47e-6	K562	KARR-seq
chr22	19951276	19951357	ENSG00000265087.1	MIR4761	miRNA	+	chr22	19945070	19956276	K562_MPT_8551	chr10	81504479	81508005	K562_TE_3071	16	7.47e-6	K562	KARR-seq
chr17	56833230	57058983	ENSG00000175175.4	PPM1E	protein_coding	+	chr17	56828230	56838230	K562_MPT_5708	chr19	28942803	29111036	K562_SE_341	16	1.19e-5	K562	KARR-seq
chr11	5528530	5531215	ENSG00000175520.8	UBQLN3	protein_coding	-	chr11	5521834	5536215	K562_MPT_2030	chr2	171992468	172012441	K562_TE_12304	16	1.10e-5	K562	KARR-seq
chr11	5274420	5667019	ENSG00000196565.8	HBG2	protein_coding	-	chr11	5521834	5536215	K562_MPT_2030	chr2	171992468	172012441	K562_TE_12304	16	1.10e-5	K562	KARR-seq
chr11	5289582	5526847	ENSG00000213931.1	HBE1	protein_coding	-	chr11	5521834	5536215	K562_MPT_2030	chr2	171992468	172012441	K562_TE_12304	16	1.10e-5	K562	KARR-seq
chr11	5326206	5526882	ENSG00000167355.3	AC104389.28	lncRNA	-	chr11	5521834	5536215	K562_MPT_2030	chr2	171992468	172012441	K562_TE_12304	16	1.10e-5	K562	KARR-seq
chr16	15068448	15233196	ENSG00000179889.14	PDXDC1	protein_coding	+	chr16	15063448	15075620	K562_MPT_4729	chr2	138815386	138830108	K562_TE_12094	16	7.76e-6	K562	KARR-seq
chr5	180673523	180699168	ENSG00000233937.2	CTC-338M12.4	lncRNA	+	chr5	180660195	180695635	K562_MPT_10749	chr6	155589358	155595485	K562_TE_19221	16	7.47e-6	K562	KARR-seq
