pair_id,enhancer_chr,enhancer_chr_start,enhancer_chr_end,enhancer_id,promoter_chr,promoter_chr_start,promoter_chr_end,promoter_id,ENSG,gene_id,gene_type,reads_count,P-value,cell_line,methods,interaction_type
K562_EP_0371,chr8,103674976,103714753,K562_TE_21442,chr8,103661603,103673130,K562_MPT_12553,ENSG00000155090.10,KLF10,protein_coding,9,0.00943,K562,RIC-seq,cis_same_chromosome
K562_EP_0372,chr16,67294785,67304011,K562_TE_8419,chr16,67306413,67318499,K562_MPT_4997,ENSG00000196155.8,PLEKHG4,protein_coding,9,0.00943,K562,RIC-seq,cis_same_chromosome
K562_EP_0373,chr1,150576644,150613992,K562_SE_71,chr1,150547006,150557066,K562_MPT_883,ENSG00000143384.8,MCL1,protein_coding,9,0.00948,K562,RIC-seq,cis_same_chromosome
K562_EP_0374,chr1,28897644,28917048,K562_TE_432,chr1,184015811,184025880,K562_MPT_1143,ENSG00000198860.7,TSEN15,protein_coding,6,0.00969,K562,KARR-seq,cis_same_chromosome
K562_EP_0375,chr19,28942803,29111036,K562_SE_341,chr19,30150963,30162781,K562_MPT_6590,ENSG00000166289.5,PLEKHF1,protein_coding,6,0.00977,K562,KARR-seq,cis_same_chromosome
K562_EP_0376,chr1,89996110,90030257,K562_SE_50,chr1,149977624,149987625,K562_MPT_872,ENSG00000163113.10,OTUD7B,protein_coding,9,0.00979,K562,RIC-seq,cis_same_chromosome
K562_EP_0377,chr1,19929760,19940167,K562_TE_263,chr1,76246879,76267567,K562_MPT_602,ENSG00000207241.1,SNORD45A,snoRNA,6,0.00982,K562,KARR-seq,cis_same_chromosome
K562_EP_0378,chr16,53095216,53128564,K562_TE_8323,chr16,4388762,4410608,K562_MPT_4673,ENSG00000217930.3,PAM16,protein_coding,6,0.00999,K562,KARR-seq,cis_same_chromosome
K562_EP_0379,chr1,230208360,230327626,K562_SE_104,chr1,249145142,249158363,K562_MPT_1434,ENSG00000227237.1,AL672294.1,lncRNA,6,0.0101,K562,KARR-seq,cis_same_chromosome
K562_EP_0380,chr12,127627679,127650399,K562_SE_215,chr12,127645672,127655672,K562_MPT_3390,ENSG00000239776.2,AC079949.1,miRNA,9,0.0102,K562,RIC-seq,cis_same_chromosome
K562_EP_0381,chr11,65235059,65278329,K562_SE_179,chr11,65808046,65825615,K562_MPT_2347,ENSG00000239166.1,snoU13,snoRNA,7,0.0102,K562,KARR-seq,cis_same_chromosome
K562_EP_0382,chr11,65235059,65278329,K562_SE_179,chr11,47864865,47875107,K562_MPT_2211,ENSG00000030066.9,NUP160,protein_coding,7,0.0102,K562,KARR-seq,cis_same_chromosome
K562_EP_0383,chr3,45082598,45261279,K562_SE_464,chr3,14161358,14171440,K562_MPT_8914,ENSG00000163528.8,CHCHD4,protein_coding,6,0.0102,K562,KARR-seq,cis_same_chromosome
K562_EP_0384,chr1,28897644,28917048,K562_TE_432,chr1,36390716,36401859,K562_MPT_376,ENSG00000271914.1,RP4-789D17.5,lncRNA,6,0.0102,K562,KARR-seq,cis_same_chromosome
K562_EP_0385,chr5,10360480,10376856,K562_TE_16849,chr5,179038925,179066785,K562_MPT_10725,ENSG00000169045.13,HNRNPH1,protein_coding,6,0.0102,K562,KARR-seq,cis_same_chromosome
K562_EP_0386,chr1,167829454,167850322,K562_SE_81,chr1,173827386,173843094,K562_MPT_1095,ENSG00000270084.1,GAS5-AS1,lncRNA,6,0.0102,K562,KARR-seq,cis_same_chromosome
K562_EP_0387,chr10,75715341,75838968,K562_SE_145,chr10,5926535,5941349,K562_MPT_1460,ENSG00000134452.15,FBXO18,protein_coding,6,0.0102,K562,KARR-seq,cis_same_chromosome
K562_EP_0388,chr6,13654863,13682199,K562_SE_564,chr6,27769853,27811440,K562_MPT_10912,ENSG00000197914.2,HIST1H4K,protein_coding,6,0.0102,K562,KARR-seq,cis_same_chromosome
K562_EP_0389,chr1,142804945,142848352,K562_TE_1329,chr1,155934520,155953890,K562_MPT_960,ENSG00000273002.1,RP11-336K24.12,lncRNA,6,0.0103,K562,KARR-seq,cis_same_chromosome
K562_EP_0390,chr4,145023980,145052566,K562_TE_16561,chr4,144821712,144838484,K562_MPT_10035,ENSG00000251600.1,RP11-673E1.1,lncRNA,9,0.0104,K562,RIC-seq,cis_same_chromosome
K562_EP_0391,chr6,68585750,68609380,K562_SE_605,chr6,42708834,42719558,K562_MPT_11091,ENSG00000124659.5,TBCC,protein_coding,7,0.0107,K562,KARR-seq,cis_same_chromosome
K562_EP_0392,chr11,65235059,65278329,K562_SE_179,chr11,59572773,59583345,K562_MPT_2238,ENSG00000166902.4,MRPL16,protein_coding,10,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0393,chr6,68585750,68609380,K562_SE_605,chr6,33234653,33249917,K562_MPT_10999,ENSG00000223501.4,VPS52,protein_coding,9,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0394,chr7,102608372,102634363,K562_SE_658,chr7,120711632,120728867,K562_MPT_12018,ENSG00000106034.13,CPED1,protein_coding,6,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0395,chr11,65167965,65217131,K562_SE_178,chr11,44112099,44122773,K562_MPT_2167,ENSG00000151348.9,EXT2,protein_coding,6,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0396,chr11,65167965,65217131,K562_SE_178,chr11,67178557,67200972,K562_MPT_2381,ENSG00000172531.10,PPP1CA,protein_coding,6,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0397,chr5,135415815,135424581,K562_TE_17596,chr5,179038925,179066785,K562_MPT_10725,ENSG00000169045.13,HNRNPH1,protein_coding,6,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0398,chr2,27220765,27245234,K562_SE_359,chr2,219428014,219438598,K562_MPT_7887,ENSG00000135913.6,USP37,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0399,chr2,66692457,66723949,K562_TE_11575,chr2,157181633,157203860,K562_MPT_7669,ENSG00000153234.9,NR4A2,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0400,chr1,155791235,155820632,K562_TE_1527,chr1,153926052,153973108,K562_MPT_927,ENSG00000143570.13,SLC39A1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0401,chr2,145188334,145270092,K562_SE_382,chr2,42583289,42593356,K562_MPT_7234,ENSG00000115944.10,COX7A2L,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0402,chr3,42042833,42103721,K562_TE_14587,chr3,47818407,47828407,K562_MPT_9045,ENSG00000173473.6,SMARCC1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0403,chr6,111844966,111937208,K562_TE_18894,chr6,30021524,30040983,K562_MPT_10942,ENSG00000204619.3,PPP1R11,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0404,chr11,85802540,85930107,K562_SE_187,chr11,34122149,34134756,K562_MPT_2148,ENSG00000135372.4,NAT10,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0405,chr6,143516552,143522207,K562_TE_19117,chr6,2837094,2847240,K562_MPT_10763,ENSG00000021355.8,SERPINB1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0406,chr3,45082598,45261279,K562_SE_464,chr3,52438799,52453539,K562_MPT_9109,ENSG00000163930.5,BAP1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0407,chr5,126297433,126361662,K562_SE_542,chr5,139481067,139498708,K562_MPT_10550,ENSG00000245146.2,LINC01024,lncRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0408,chr16,75543571,75551342,K562_TE_8524,chr16,75488915,75504395,K562_MPT_5076,ENSG00000261476.1,RP11-77K12.3,lncRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0409,chr16,85548387,85639758,K562_SE_284,chr16,30001615,30017292,K562_MPT_4843,ENSG00000149929.11,HIRIP3,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0410,chr17,29055422,29060133,K562_TE_8980,chr17,30259037,30269086,K562_MPT_5420,ENSG00000178691.6,SUZ12,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0411,chr19,44267646,44280229,K562_TE_10713,chr19,42767689,42778376,K562_MPT_6754,ENSG00000079432.3,CIC,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0412,chr1,59431900,59445876,K562_TE_853,chr1,65715145,65725145,K562_MPT_572,ENSG00000116675.11,DNAJC6,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0413,chr1,12551402,12665350,K562_SE_5,chr1,24962722,24980417,K562_MPT_236,ENSG00000133226.12,SRRM1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0414,chr1,61569740,61673375,K562_SE_45,chr1,65715145,65725145,K562_MPT_572,ENSG00000116675.11,DNAJC6,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0415,chr6,39152989,39191777,K562_SE_598,chr6,31574133,31595856,K562_MPT_10975,ENSG00000200816.1,SNORA38,snoRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0416,chr5,1097124,1118905,K562_TE_16810,chr5,1107150,1117150,K562_MPT_10149,ENSG00000113504.15,SLC12A7,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0417,chr21,9950593,9969001,K562_SE_420,chr21,47643682,47654438,K562_MPT_8513,ENSG00000215424.5,MCM3AP-AS1,lncRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0418,chr16,24747738,24764635,K562_TE_8154,chr16,89763048,89792952,K562_MPT_5158,ENSG00000158805.7,ZNF276,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0419,chr8,59553919,59565445,K562_TE_21146,chr8,54929708,54940089,K562_MPT_12395,ENSG00000187735.8,TCEA1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0420,chr2,70255394,70265748,K562_TE_11619,chr2,145270115,145283621,K562_MPT_7656,ENSG00000238057.4,ZEB2-AS1,lncRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0421,chr17,40392872,40475968,K562_SE_305,chr17,7291801,7316960,K562_MPT_5243,ENSG00000169992.5,NLGN2,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0422,chr12,57653378,57681877,K562_TE_5185,chr12,57903933,57948827,K562_MPT_3069,ENSG00000175203.11,DCTN2,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0423,chr7,30328483,30370643,K562_TE_19671,chr7,6409154,6419170,K562_MPT_11547,ENSG00000136238.13,RAC1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0424,chr1,61692483,61739474,K562_TE_874,chr1,1238269,1265621,K562_MPT_28,ENSG00000240731.1,RP5-890O3.9,lncRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0425,chr7,36146826,36152865,K562_TE_19719,chr7,36187758,36197877,K562_MPT_11661,ENSG00000122547.6,EEPD1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0426,chr16,88509252,88598161,K562_SE_287,chr16,88514725,88524725,K562_MPT_5134,ENSG00000179588.4,ZFPM1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0427,chr7,140184473,140218192,K562_TE_20598,chr7,140173303,140184369,K562_MPT_12112,ENSG00000133606.6,MKRN1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0428,chr5,10360480,10376856,K562_TE_16849,chr5,61596989,61612640,K562_MPT_10278,ENSG00000068796.12,KIF2A,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0429,chr9,111860286,111945753,K562_SE_726,chr9,127353087,127366859,K562_MPT_13090,ENSG00000231744.1,RP11-164H5.1,pseudogene,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0430,chr1,89996110,90030257,K562_SE_50,chr1,26555691,26565693,K562_MPT_255,ENSG00000130695.9,CEP85,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0431,chr6,157875968,157957226,K562_SE_629,chr6,150034170,150044392,K562_MPT_11415,ENSG00000131023.8,LATS1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0432,chr1,27424992,27473215,K562_TE_401,chr1,184718701,184729047,K562_MPT_1145,ENSG00000116406.14,EDEM3,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0433,chr17,27119671,27129901,K562_TE_8946,chr17,27176956,27193984,K562_MPT_5392,ENSG00000264066.3,MIR144,lncRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0434,chr17,57905311,57931090,K562_SE_315,chr17,45721768,45739291,K562_MPT_5621,ENSG00000108424.5,KPNB1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0435,chr17,3847566,3911178,K562_TE_8716,chr17,56397811,56419719,K562_MPT_5701,ENSG00000264399.1,MIR4736,miRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0436,chr16,23853484,23934208,K562_SE_269,chr16,2716406,2737541,K562_MPT_4641,ENSG00000167977.4,KCTD5,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0437,chr1,246294272,246388032,K562_SE_112,chr1,19531746,19541995,K562_MPT_182,ENSG00000127481.10,UBR4,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0438,chr12,122580754,122606921,K562_TE_5725,chr12,122102560,122112560,K562_MPT_3337,ENSG00000139714.8,MORN3,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0439,chr4,79684477,79738669,K562_TE_16199,chr4,100862883,100876680,K562_MPT_9926,ENSG00000164031.12,DNAJB14,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0440,chr5,139486451,139489097,K562_TE_17643,chr5,139481067,139498708,K562_MPT_10550,ENSG00000245146.2,LINC01024,lncRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0441,chr19,46858085,46859357,K562_TE_10750,chr19,1391466,1418900,K562_MPT_6189,ENSG00000248015.2,AC005329.7,lncRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0442,chr22,24013519,24027990,K562_TE_13861,chr22,24984030,25008631,K562_MPT_8618,ENSG00000100031.14,GGT1,protein_coding,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0443,chr5,118609801,118678797,K562_SE_538,chr5,175869629,175883763,K562_MPT_10689,ENSG00000221373.1,AC010297.1,miRNA,5,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0444,chr17,64397174,64418217,K562_TE_9472,chr17,62328451,62345661,K562_MPT_5756,ENSG00000136478.3,TEX2,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0445,chrX,86780940,86782673,K562_TE_23054,chrX,86767752,86777817,K562_MPT_13529,ENSG00000102271.9,KLHL4,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0446,chr6,4906494,4943216,K562_TE_18049,chr6,17982694,17992854,K562_MPT_10848,ENSG00000137177.14,KIF13A,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0447,chr1,29462900,29499182,K562_TE_446,chr1,28759682,28769682,K562_MPT_304,ENSG00000204138.8,PHACTR4,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0448,chr5,149389031,149407916,K562_TE_17743,chr5,607325,617405,K562_MPT_10146,ENSG00000112877.6,CEP72,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0449,chr1,142702008,142725718,K562_TE_1328,chr1,61537946,61559084,K562_MPT_557,ENSG00000263380.1,AC096534.1,miRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0450,chr1,28769596,28777411,K562_TE_428,chr1,33111161,33122088,K562_MPT_345,ENSG00000162521.14,RBBP4,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0451,chr7,100292203,100296793,K562_TE_20172,chr7,100282071,100292071,K562_MPT_11926,ENSG00000146830.9,GIGYF1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0452,chr19,55509612,55538287,K562_TE_10910,chr19,55715824,55733050,K562_MPT_7002,ENSG00000267649.1,CTD-2587H24.10,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0453,chr11,71448404,71461289,K562_TE_4169,chr11,66881740,66892158,K562_MPT_2373,ENSG00000173120.10,KDM2A,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0454,chrX,48562561,48655638,K562_SE_743,chrX,48548945,48560149,K562_MPT_13398,ENSG00000101945.12,SUV39H1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0455,chr17,47095597,47106011,K562_TE_9248,chr17,79510524,79525987,K562_MPT_5909,ENSG00000185504.12,C17orf70,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0456,chr19,45354842,45360319,K562_TE_10724,chr19,10759520,10771172,K562_MPT_6370,ENSG00000129351.13,ILF3,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0457,chr6,158033123,158057277,K562_TE_19246,chr6,166791486,166801677,K562_MPT_11472,ENSG00000261420.1,RP1-168L15.5,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0458,chr1,197963264,197965202,K562_TE_1910,chr1,6046526,6057771,K562_MPT_67,ENSG00000131697.13,NPHP4,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0459,chr19,53123895,53130613,K562_TE_10883,chr19,57917532,57929741,K562_MPT_7034,ENSG00000186272.8,ZNF17,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0460,chr12,110994462,111016408,K562_TE_5573,chr12,109085178,109101851,K562_MPT_3235,ENSG00000110880.6,CORO1C,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0461,chr14,103909679,103922913,K562_TE_6958,chr14,92501403,92512240,K562_MPT_3997,ENSG00000100815.8,TRIP11,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0462,chr15,63651775,63667073,K562_TE_7395,chr15,63677335,63687429,K562_MPT_4328,ENSG00000259459.1,RP11-321G12.1,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0463,chr1,111421726,111441927,K562_SE_55,chr1,228286163,228302013,K562_MPT_1334,ENSG00000162910.14,MRPL55,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0464,chr9,35337153,35341369,K562_TE_21872,chr9,134607925,134620461,K562_MPT_13187,ENSG00000107263.14,RAPGEF1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0465,chr19,34861144,34862369,K562_TE_10588,chr19,58854117,58879805,K562_MPT_7061,ENSG00000268230.1,CTD-2619J13.8,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0466,chr5,174943835,174945714,K562_TE_17900,chr5,149374884,149385730,K562_MPT_10593,ENSG00000113716.8,HMGXB3,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0467,chr16,89904001,89914658,K562_TE_8661,chr16,84173043,84183922,K562_MPT_5104,ENSG00000154099.13,DNAAF1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0468,chr5,10261576,10331898,K562_SE_527,chr5,132195477,132207338,K562_MPT_10496,ENSG00000164404.4,GDF9,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0469,chr3,4753839,4814516,K562_SE_448,chr3,183727192,183740803,K562_MPT_9515,ENSG00000114770.12,ABCC5,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0470,chr7,73974319,73984174,K562_TE_19980,chr7,77161592,77172386,K562_MPT_11840,ENSG00000127947.11,PTPN12,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0471,chr1,224003589,224028500,K562_TE_2175,chr1,46044518,46054737,K562_MPT_485,ENSG00000132780.12,NASP,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0472,chr7,23228867,23231221,K562_TE_19584,chr7,99053152,99075535,K562_MPT_11901,ENSG00000106246.13,PTCD1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0473,chr1,100899897,100909504,K562_TE_1142,chr1,24301784,24311846,K562_MPT_231,ENSG00000188529.10,SRSF10,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0474,chr1,966288,976091,K562_TE_17,chr1,53013654,53025490,K562_MPT_520,ENSG00000134744.9,ZCCHC11,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0475,chr10,103476756,103490290,K562_TE_3277,chr10,5850350,5861292,K562_MPT_1458,ENSG00000272764.1,RP11-318E3.9,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0476,chr10,81134552,81176377,K562_TE_3064,chr10,76863891,76876467,K562_MPT_1727,ENSG00000079393.16,DUSP13,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0477,chr10,6506832,6530294,K562_TE_2487,chr10,81959247,81972965,K562_MPT_1744,ENSG00000122359.13,ANXA11,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0478,chr1,207977786,208061237,K562_SE_95,chr1,28874597,28884597,K562_MPT_306,ENSG00000180098.5,TRNAU1AP,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0479,chr19,19553596,19601338,K562_SE_339,chr19,3040728,3068105,K562_MPT_6237,ENSG00000065717.10,TLE2,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0480,chr19,2203996,2211952,K562_TE_10214,chr19,4491330,4501330,K562_MPT_6270,ENSG00000167674.10,HDGFRP2,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0481,chr1,23762434,23778585,K562_TE_324,chr1,71508281,71519538,K562_MPT_595,ENSG00000235079.1,ZRANB2-AS1,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0482,chr17,16289716,16311781,K562_TE_8832,chr17,7377844,7392939,K562_MPT_5246,ENSG00000181222.10,POLR2A,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0483,chr1,15347376,15358552,K562_TE_201,chr1,151337317,151350209,K562_MPT_901,ENSG00000143416.16,SELENBP1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0484,chr1,65781781,65789793,K562_TE_908,chr1,38320292,38331369,K562_MPT_395,ENSG00000230955.1,RP11-109P14.10,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0485,chr18,23834980,23836362,K562_TE_9892,chr18,9609285,9623070,K562_MPT_5984,ENSG00000263627.1,RP11-692N5.1,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0486,chr11,70152208,70159813,K562_TE_4157,chr11,32909724,32919724,K562_MPT_2135,ENSG00000060749.10,QSER1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0487,chr3,138444829,138446582,K562_TE_15212,chr3,171752418,171763345,K562_MPT_9473,ENSG00000075420.8,FNDC3B,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0488,chr6,28574822,28586472,K562_SE_586,chr6,127582755,127593033,K562_MPT_11338,ENSG00000118518.11,RNF146,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0489,chr1,8821930,8825150,K562_TE_116,chr1,235286252,235297251,K562_MPT_1375,ENSG00000207181.1,SNORA14B,snoRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0490,chr1,112167750,112182587,K562_TE_1223,chr1,156552747,156576282,K562_MPT_976,ENSG00000163382.7,APOA1BP,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0491,chr6,28129229,28137018,K562_TE_18291,chr6,5080720,5090720,K562_MPT_10787,ENSG00000219607.2,PPP1R3G,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0492,chr2,25029030,25042483,K562_TE_11157,chr2,220017343,220030575,K562_MPT_7892,ENSG00000187736.8,NHEJ1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0493,chr4,40204872,40250619,K562_SE_510,chr4,185742188,185752972,K562_MPT_10121,ENSG00000151726.9,ACSL1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0494,chr16,30411761,30413509,K562_TE_8225,chr16,30413618,30424352,K562_MPT_4854,ENSG00000179965.7,ZNF771,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0495,chr3,45672167,45710716,K562_TE_14636,chr3,100206463,100216504,K562_MPT_9207,ENSG00000181458.6,TMEM45A,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0496,chr7,104865491,104902540,K562_TE_20250,chr7,20252013,20264062,K562_MPT_11588,ENSG00000233834.2,AC005083.1,lncRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0497,chr16,87495349,87519781,K562_TE_8621,chr16,30001615,30017292,K562_MPT_4843,ENSG00000149929.11,HIRIP3,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0498,chr6,135530300,135536432,K562_TE_19055,chr6,80336000,80346000,K562_MPT_11188,ENSG00000198478.6,SH3BGRL2,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0499,chr1,25844071,25896975,K562_TE_374,chr1,246347420,246362029,K562_MPT_1411,ENSG00000202184.1,RNU6-1283P,snRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0500,chr20,33892876,33932992,K562_TE_13139,chr20,35782307,35799715,K562_MPT_8182,ENSG00000101353.10,MROH8,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0501,chr1,12487695,12534511,K562_SE_4,chr1,65608232,65625163,K562_MPT_571,ENSG00000231622.1,RP4-700A9.1,pseudogene,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0502,chr3,151992874,152011414,K562_TE_15325,chr3,197015819,197031171,K562_MPT_9606,ENSG00000265850.1,MIR4797,miRNA,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0503,chr5,139013078,139019050,K562_TE_17639,chr5,154130135,154141734,K562_MPT_10623,ENSG00000155506.12,LARP1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0504,chr16,85005811,85028834,K562_TE_8593,chr16,2374725,2397980,K562_MPT_4634,ENSG00000238098.4,ABCA17P,pseudogene,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0505,chr19,49600928,49610186,K562_TE_10819,chr19,49215100,49227978,K562_MPT_6875,ENSG00000176909.7,MAMSTR,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
K562_EP_0506,chr3,186654509,186678245,K562_TE_15615,chr3,57255549,57266902,K562_MPT_9130,ENSG00000157500.6,APPL1,protein_coding,3,0.0112,K562,KARR-seq,cis_same_chromosome
